level,descriptor,target,removed_item,removed_group,n,full_rho,loo_rho,absolute_shift,sign_flip
task,channel_count,delta_auc_pr,PSM,PSM,23,-0.24586446373094079,-0.215205278573645,0.030659185157295793,False
task,channel_count,delta_auc_pr,Genesis,Genesis,23,-0.24586446373094079,-0.18258516150259754,0.06327930222834324,False
task,channel_count,delta_auc_pr,GECCO,GECCO,23,-0.24586446373094079,-0.3361787601990394,0.09031429646809863,False
task,channel_count,delta_auc_pr,CalIt2,CalIt2,23,-0.24586446373094079,-0.21404409135608563,0.03182037237485516,False
task,channel_count,delta_auc_pr,NYC,NYC,23,-0.24586446373094079,-0.39971346166784866,0.15384899793690787,False
task,channel_count,delta_auc_pr,MSL,MSL,23,-0.24586446373094079,-0.2757282675393956,0.029863803808454825,False
task,channel_count,delta_auc_pr,ASD_dataset_1,ASD,23,-0.24586446373094079,-0.24625498648642347,0.00039052275548268067,False
task,channel_count,delta_auc_pr,ASD_dataset_2,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_3,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_4,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_5,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_6,ASD,23,-0.24586446373094079,-0.27100119836373565,0.025136734632794866,False
task,channel_count,delta_auc_pr,ASD_dataset_7,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_8,ASD,23,-0.24586446373094079,-0.24625498648642347,0.00039052275548268067,False
task,channel_count,delta_auc_pr,ASD_dataset_9,ASD,23,-0.24586446373094079,-0.2631548385001976,0.017290374769256822,False
task,channel_count,delta_auc_pr,ASD_dataset_10,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_11,ASD,23,-0.24586446373094079,-0.23418366361944193,0.011680800111498857,False
task,channel_count,delta_auc_pr,ASD_dataset_12,ASD,23,-0.24586446373094079,-0.27100119836373565,0.025136734632794866,False
task,channel_count,delta_auc_pr,CICIDS,CICIDS,23,-0.24586446373094079,-0.241185128876742,0.0046793348541987745,False
task,channel_count,delta_auc_pr,Creditcard,Creditcard,23,-0.24586446373094079,-0.2572230146844027,0.011358550953461888,False
task,channel_count,delta_auc_pr,SMAP,SMAP,23,-0.24586446373094079,-0.19917279363692647,0.046691670094014315,False
task,channel_count,delta_auc_pr,SMD,SMD,23,-0.24586446373094079,-0.23625039478207724,0.009614068948863547,False
task,channel_count,delta_auc_pr,SWAT,SWAT,23,-0.24586446373094079,-0.15421044045827492,0.09165402327266586,False
task,channel_count,delta_auc_roc,PSM,PSM,23,-0.5317285690666984,-0.4957737649662195,0.03595480410047891,False
task,channel_count,delta_auc_roc,Genesis,Genesis,23,-0.5317285690666984,-0.5434375921749609,0.011709023108262495,False
task,channel_count,delta_auc_roc,GECCO,GECCO,23,-0.5317285690666984,-0.5890838825506103,0.057355313483911874,False
task,channel_count,delta_auc_roc,CalIt2,CalIt2,23,-0.5317285690666984,-0.5212312887489693,0.010497280317729119,False
task,channel_count,delta_auc_roc,NYC,NYC,23,-0.5317285690666984,-0.6501512169720873,0.11842264790538892,False
task,channel_count,delta_auc_roc,MSL,MSL,23,-0.5317285690666984,-0.5107449787978067,0.02098359026889174,False
task,channel_count,delta_auc_roc,ASD_dataset_1,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_2,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_3,ASD,23,-0.5317285690666984,-0.5504523227343583,0.01872375366765988,False
task,channel_count,delta_auc_roc,ASD_dataset_4,ASD,23,-0.5317285690666984,-0.5504523227343583,0.01872375366765988,False
task,channel_count,delta_auc_roc,ASD_dataset_5,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_6,ASD,23,-0.5317285690666984,-0.5558844180245001,0.02415584895780165,False
task,channel_count,delta_auc_roc,ASD_dataset_7,ASD,23,-0.5317285690666984,-0.5504523227343583,0.01872375366765988,False
task,channel_count,delta_auc_roc,ASD_dataset_8,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_9,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_10,ASD,23,-0.5317285690666984,-0.5323453384338861,0.0006167693671876862,False
task,channel_count,delta_auc_roc,ASD_dataset_11,ASD,23,-0.5317285690666984,-0.5504523227343583,0.01872375366765988,False
task,channel_count,delta_auc_roc,ASD_dataset_12,ASD,23,-0.5317285690666984,-0.5504523227343583,0.01872375366765988,False
task,channel_count,delta_auc_roc,CICIDS,CICIDS,23,-0.5317285690666984,-0.45893027080382626,0.07279829826287215,False
task,channel_count,delta_auc_roc,Creditcard,Creditcard,23,-0.5317285690666984,-0.5033428776558094,0.02838569141088898,False
task,channel_count,delta_auc_roc,SMAP,SMAP,23,-0.5317285690666984,-0.48159118213758384,0.05013738692911457,False
task,channel_count,delta_auc_roc,SMD,SMD,23,-0.5317285690666984,-0.482370257753484,0.04935831131321439,False
task,channel_count,delta_auc_roc,SWAT,SWAT,23,-0.5317285690666984,-0.47065026427865514,0.06107830478804327,False
task,mean_drift,delta_auc_pr,PSM,PSM,23,0.5158102766798419,0.5189158667419538,0.0031055900621118626,False
task,mean_drift,delta_auc_pr,Genesis,Genesis,23,0.5158102766798419,0.4466403162055336,0.06916996047430829,False
task,mean_drift,delta_auc_pr,GECCO,GECCO,23,0.5158102766798419,0.5223037831733485,0.006493506493506551,False
task,mean_drift,delta_auc_pr,CalIt2,CalIt2,23,0.5158102766798419,0.5166572557876906,0.0008469791078486999,False
task,mean_drift,delta_auc_pr,NYC,NYC,23,0.5158102766798419,0.5031055900621118,0.012704686617730165,False
task,mean_drift,delta_auc_pr,MSL,MSL,23,0.5158102766798419,0.575381140598532,0.05957086391869004,False
task,mean_drift,delta_auc_pr,ASD_dataset_1,ASD,23,0.5158102766798419,0.5561829474872955,0.04037267080745355,False
task,mean_drift,delta_auc_pr,ASD_dataset_2,ASD,23,0.5158102766798419,0.4861660079051384,0.029644268774703497,False
task,mean_drift,delta_auc_pr,ASD_dataset_3,ASD,23,0.5158102766798419,0.4647092038396387,0.05110107284020321,False
task,mean_drift,delta_auc_pr,ASD_dataset_4,ASD,23,0.5158102766798419,0.4647092038396387,0.05110107284020321,False
task,mean_drift,delta_auc_pr,ASD_dataset_5,ASD,23,0.5158102766798419,0.4703557312252965,0.045454545454545414,False
task,mean_drift,delta_auc_pr,ASD_dataset_6,ASD,23,0.5158102766798419,0.5719932241671373,0.056182947487295354,False
task,mean_drift,delta_auc_pr,ASD_dataset_7,ASD,23,0.5158102766798419,0.5211744776962168,0.005364201016374914,False
task,mean_drift,delta_auc_pr,ASD_dataset_8,ASD,23,0.5158102766798419,0.5290796160361377,0.013269339356295817,False
task,mean_drift,delta_auc_pr,ASD_dataset_9,ASD,23,0.5158102766798419,0.5550536420101638,0.03924336533032191,False
task,mean_drift,delta_auc_pr,ASD_dataset_10,ASD,23,0.5158102766798419,0.5019762845849802,0.013833992094861691,False
task,mean_drift,delta_auc_pr,ASD_dataset_11,ASD,23,0.5158102766798419,0.5121400338791644,0.0036702428006775145,False
task,mean_drift,delta_auc_pr,ASD_dataset_12,ASD,23,0.5158102766798419,0.5324675324675326,0.016657255787690728,False
task,mean_drift,delta_auc_pr,CICIDS,CICIDS,23,0.5158102766798419,0.5290796160361377,0.013269339356295817,False
task,mean_drift,delta_auc_pr,Creditcard,Creditcard,23,0.5158102766798419,0.5640880858272164,0.04827780914737445,False
task,mean_drift,delta_auc_pr,SMAP,SMAP,23,0.5158102766798419,0.4726143421795596,0.04319593450028231,False
task,mean_drift,delta_auc_pr,SMD,SMD,23,0.5158102766798419,0.5290796160361377,0.013269339356295817,False
task,mean_drift,delta_auc_pr,SWAT,SWAT,23,0.5158102766798419,0.4963297571993225,0.01948051948051943,False
task,mean_drift,delta_auc_roc,PSM,PSM,23,0.5899209486166007,0.557312252964427,0.032608695652173725,False
task,mean_drift,delta_auc_roc,Genesis,Genesis,23,0.5899209486166007,0.5765104460756635,0.01341050254093723,False
task,mean_drift,delta_auc_roc,GECCO,GECCO,23,0.5899209486166007,0.5527950310559007,0.03712591756070005,False
task,mean_drift,delta_auc_roc,CalIt2,CalIt2,23,0.5899209486166007,0.6070016939582158,0.017080745341615078,False
task,mean_drift,delta_auc_roc,NYC,NYC,23,0.5899209486166007,0.5618294748729532,0.02809147374364751,False
task,mean_drift,delta_auc_roc,MSL,MSL,23,0.5899209486166007,0.5742518351214004,0.015669113495200282,False
task,mean_drift,delta_auc_roc,ASD_dataset_1,ASD,23,0.5899209486166007,0.6047430830039526,0.014822134387351915,False
task,mean_drift,delta_auc_roc,ASD_dataset_2,ASD,23,0.5899209486166007,0.6171654432523999,0.027244494635799144,False
task,mean_drift,delta_auc_roc,ASD_dataset_3,ASD,23,0.5899209486166007,0.585544889892716,0.00437605872388469,False
task,mean_drift,delta_auc_roc,ASD_dataset_4,ASD,23,0.5899209486166007,0.5708639186900057,0.01905702992659497,False
task,mean_drift,delta_auc_roc,ASD_dataset_5,ASD,23,0.5899209486166007,0.5957086391869001,0.005787690570299375,False
task,mean_drift,delta_auc_roc,ASD_dataset_6,ASD,23,0.5899209486166007,0.6679841897233203,0.07806324110671958,False
task,mean_drift,delta_auc_roc,ASD_dataset_7,ASD,23,0.5899209486166007,0.6341050254093734,0.0441840767927727,False
task,mean_drift,delta_auc_roc,ASD_dataset_8,ASD,23,0.5899209486166007,0.6024844720496896,0.012563523433088863,False
task,mean_drift,delta_auc_roc,ASD_dataset_9,ASD,23,0.5899209486166007,0.6024844720496896,0.012563523433088863,False
task,mean_drift,delta_auc_roc,ASD_dataset_10,ASD,23,0.5899209486166007,0.6137775268210052,0.023856578204404455,False
task,mean_drift,delta_auc_roc,ASD_dataset_11,ASD,23,0.5899209486166007,0.6250705815923208,0.035149632975720047,False
task,mean_drift,delta_auc_roc,ASD_dataset_12,ASD,23,0.5899209486166007,0.6250705815923208,0.035149632975720047,False
task,mean_drift,delta_auc_roc,CICIDS,CICIDS,23,0.5899209486166007,0.5471485036702428,0.0427724449463579,False
task,mean_drift,delta_auc_roc,Creditcard,Creditcard,23,0.5899209486166007,0.5686053077357426,0.021315640880858133,False
task,mean_drift,delta_auc_roc,SMAP,SMAP,23,0.5899209486166007,0.5415019762845851,0.04841897233201564,False
task,mean_drift,delta_auc_roc,SMD,SMD,23,0.5899209486166007,0.5595708639186902,0.030350084697910562,False
task,mean_drift,delta_auc_roc,SWAT,SWAT,23,0.5899209486166007,0.5471485036702428,0.0427724449463579,False
task,variance_drift,delta_auc_pr,PSM,PSM,23,0.3804347826086957,0.3562958780350085,0.02413890457368717,False
task,variance_drift,delta_auc_pr,Genesis,Genesis,23,0.3804347826086957,0.29192546583850937,0.08850931677018631,False
task,variance_drift,delta_auc_pr,GECCO,GECCO,23,0.3804347826086957,0.3890457368718239,0.008610954263128245,False
task,variance_drift,delta_auc_pr,CalIt2,CalIt2,23,0.3804347826086957,0.4048560135516658,0.024421230942970107,False
task,variance_drift,delta_auc_pr,NYC,NYC,23,0.3804347826086957,0.339356295878035,0.04107848673066067,False
task,variance_drift,delta_auc_pr,MSL,MSL,23,0.3804347826086957,0.4195369847543761,0.03910220214568044,False
task,variance_drift,delta_auc_pr,ASD_dataset_1,ASD,23,0.3804347826086957,0.3800112930547713,0.00042348955392434995,False
task,variance_drift,delta_auc_pr,ASD_dataset_2,ASD,23,0.3804347826086957,0.3540372670807454,0.026397515527950277,False
task,variance_drift,delta_auc_pr,ASD_dataset_3,ASD,23,0.3804347826086957,0.32919254658385094,0.051242236024844734,False
task,variance_drift,delta_auc_pr,ASD_dataset_4,ASD,23,0.3804347826086957,0.3529079616036138,0.02752682100508186,False
task,variance_drift,delta_auc_pr,ASD_dataset_5,ASD,23,0.3804347826086957,0.347261434217956,0.033173348390739654,False
task,variance_drift,delta_auc_pr,ASD_dataset_6,ASD,23,0.3804347826086957,0.5031055900621118,0.12267080745341608,False
task,variance_drift,delta_auc_pr,ASD_dataset_7,ASD,23,0.3804347826086957,0.36645962732919257,0.013975155279503104,False
task,variance_drift,delta_auc_pr,ASD_dataset_8,ASD,23,0.3804347826086957,0.41276115189158674,0.032326369282891065,False
task,variance_drift,delta_auc_pr,ASD_dataset_9,ASD,23,0.3804347826086957,0.4522868435911915,0.0718520609824958,False
task,variance_drift,delta_auc_pr,ASD_dataset_10,ASD,23,0.3804347826086957,0.3675889328063242,0.012845849802371467,False
task,variance_drift,delta_auc_pr,ASD_dataset_11,ASD,23,0.3804347826086957,0.347261434217956,0.033173348390739654,False
task,variance_drift,delta_auc_pr,ASD_dataset_12,ASD,23,0.3804347826086957,0.409373235460192,0.02893845285149632,False
task,variance_drift,delta_auc_pr,CICIDS,CICIDS,23,0.3804347826086957,0.383399209486166,0.0029644268774703386,False
task,variance_drift,delta_auc_pr,Creditcard,Creditcard,23,0.3804347826086957,0.4195369847543761,0.03910220214568044,False
task,variance_drift,delta_auc_pr,SMAP,SMAP,23,0.3804347826086957,0.3574251835121401,0.02300959909655559,False
task,variance_drift,delta_auc_pr,SMD,SMD,23,0.3804347826086957,0.39130434782608703,0.010869565217391353,False
task,variance_drift,delta_auc_pr,SWAT,SWAT,23,0.3804347826086957,0.3608130999435348,0.0196216826651609,False
task,variance_drift,delta_auc_roc,PSM,PSM,23,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,Genesis,Genesis,23,0.4140316205533597,0.3721061547148504,0.04192546583850926,False
task,variance_drift,delta_auc_roc,GECCO,GECCO,23,0.4140316205533597,0.3901750423489555,0.023856578204404177,False
task,variance_drift,delta_auc_roc,CalIt2,CalIt2,23,0.4140316205533597,0.4522868435911915,0.0382552230378318,False
task,variance_drift,delta_auc_roc,NYC,NYC,23,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,MSL,MSL,23,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,ASD_dataset_1,ASD,23,0.4140316205533597,0.40372670807453415,0.010304912478825534,False
task,variance_drift,delta_auc_roc,ASD_dataset_2,ASD,23,0.4140316205533597,0.4240542066629024,0.010022586109542708,False
task,variance_drift,delta_auc_roc,ASD_dataset_3,ASD,23,0.4140316205533597,0.3946922642574817,0.019339356295877963,False
task,variance_drift,delta_auc_roc,ASD_dataset_4,ASD,23,0.4140316205533597,0.4150197628458499,0.000988142292490224,False
task,variance_drift,delta_auc_roc,ASD_dataset_5,ASD,23,0.4140316205533597,0.41840767927724454,0.004376058723884857,False
task,variance_drift,delta_auc_roc,ASD_dataset_6,ASD,23,0.4140316205533597,0.5539243365330322,0.1398927159796725,False
task,variance_drift,delta_auc_roc,ASD_dataset_7,ASD,23,0.4140316205533597,0.4251835121400339,0.011151891586674234,False
task,variance_drift,delta_auc_roc,ASD_dataset_8,ASD,23,0.4140316205533597,0.4330886504799548,0.019057029926595137,False
task,variance_drift,delta_auc_roc,ASD_dataset_9,ASD,23,0.4140316205533597,0.4263128176171655,0.012281197063805815,False
task,variance_drift,delta_auc_roc,ASD_dataset_10,ASD,23,0.4140316205533597,0.4150197628458499,0.000988142292490224,False
task,variance_drift,delta_auc_roc,ASD_dataset_11,ASD,23,0.4140316205533597,0.41050254093732363,0.003529079616036046,False
task,variance_drift,delta_auc_roc,ASD_dataset_12,ASD,23,0.4140316205533597,0.4150197628458499,0.000988142292490224,False
task,variance_drift,delta_auc_roc,CICIDS,CICIDS,23,0.4140316205533597,0.41276115189158674,0.0012704686617729388,False
task,variance_drift,delta_auc_roc,Creditcard,Creditcard,23,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,SMAP,SMAP,23,0.4140316205533597,0.3969508752117449,0.0170807453416148,False
task,variance_drift,delta_auc_roc,SMD,SMD,23,0.4140316205533597,0.3822699040090345,0.03176171654432519,False
task,variance_drift,delta_auc_roc,SWAT,SWAT,23,0.4140316205533597,0.3969508752117449,0.0170807453416148,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,PSM,PSM,23,0.09683794466403163,0.0852625635234331,0.011575381140598529,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,Genesis,Genesis,23,0.09683794466403163,0.17899491812535295,0.08215697346132132,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,GECCO,GECCO,23,0.09683794466403163,0.09090909090909091,0.005928853754940719,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,CalIt2,CalIt2,23,0.09683794466403163,0.10559006211180126,0.00875211744776963,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,NYC,NYC,23,0.09683794466403163,0.23658949745906271,0.1397515527950311,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,MSL,MSL,23,0.09683794466403163,0.1202710333145116,0.023433088650479966,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_1,ASD,23,0.09683794466403163,0.12704686617730096,0.03020892151326933,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_2,ASD,23,0.09683794466403163,0.05590062111801244,0.04093732354601919,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_3,ASD,23,0.09683794466403163,0.050254093732354614,0.046583850931677016,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_4,ASD,23,0.09683794466403163,0.044607566346696784,0.05223037831733485,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_5,ASD,23,0.09683794466403163,0.0852625635234331,0.011575381140598529,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_6,ASD,23,0.09683794466403163,0.18802936194240544,0.09119141727837381,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_7,ASD,23,0.09683794466403163,0.0852625635234331,0.011575381140598529,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_8,ASD,23,0.09683794466403163,0.10559006211180126,0.00875211744776963,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_9,ASD,23,0.09683794466403163,0.11688311688311688,0.02004517221908525,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_10,ASD,23,0.09683794466403163,0.06041784302653869,0.036420101637492944,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_11,ASD,23,0.09683794466403163,0.028797289666854884,0.06804065499717675,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,ASD_dataset_12,ASD,23,0.09683794466403163,0.1225296442687747,0.025691699604743073,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,CICIDS,CICIDS,23,0.09683794466403163,0.07735742518351214,0.019480519480519487,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,Creditcard,Creditcard,23,0.09683794466403163,0.10897797854319595,0.01214003387916432,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SMAP,SMAP,23,0.09683794466403163,0.012987012987012988,0.08385093167701864,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SMD,SMD,23,0.09683794466403163,0.07735742518351214,0.019480519480519487,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,SWAT,SWAT,23,0.09683794466403163,0.05815923207227556,0.03867871259175607,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,PSM,PSM,23,0.4061264822134388,0.3811405985319029,0.02498588368153587,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,Genesis,Genesis,23,0.4061264822134388,0.4443817052512706,0.0382552230378318,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,GECCO,GECCO,23,0.4061264822134388,0.3811405985319029,0.02498588368153587,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,CalIt2,CalIt2,23,0.4061264822134388,0.4443817052512706,0.0382552230378318,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,NYC,NYC,23,0.4061264822134388,0.5211744776962168,0.11504799548277805,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,MSL,MSL,23,0.4061264822134388,0.3867871259175608,0.019339356295877963,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_1,ASD,23,0.4061264822134388,0.4229249011857708,0.01679841897233203,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_2,ASD,23,0.4061264822134388,0.4138904573687183,0.0077639751552795455,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_3,ASD,23,0.4061264822134388,0.3901750423489555,0.015951439864483274,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_4,ASD,23,0.4061264822134388,0.3845285149632976,0.02159796725014118,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_5,ASD,23,0.4061264822134388,0.4150197628458499,0.008893280632411127,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_6,ASD,23,0.4061264822134388,0.5132693393562959,0.10714285714285715,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_7,ASD,23,0.4061264822134388,0.4376058723884812,0.03147939017504242,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_8,ASD,23,0.4061264822134388,0.4025974025974026,0.003529079616036157,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_9,ASD,23,0.4061264822134388,0.4116318464144552,0.005505364201016438,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_10,ASD,23,0.4061264822134388,0.4138904573687183,0.0077639751552795455,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,ASD_dataset_11,ASD,23,0.4061264822134388,0.3721061547148504,0.034020327498588354,False
