task,paper_dataset,formal_source_selection,formal_seq_len,formal_patch_size,catch_record_dataset,catch_seed,catch_strategy,catch_primary_score,msd_record_dataset,msd_seed,msd_seq_len,msd_patch_size,msd_strategy,msd_primary_score,source_config_status,source_config_conflict_fields,source_config_not_persisted_fields,catch_auc_pr,msd_auc_pr,delta_auc_pr,pr_group,catch_auc_roc,msd_auc_roc,delta_auc_roc,roc_group,catch_source,msd_source,msd_source_kind,notes
PSM,PSM,explicit_fixed_mapping,192,16,PSM,2021.0,unfixed_detect_score,detect_score,PSM,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.43664600390349617,0.43044059429158626,-0.006205409611909907,neutral,0.6475481500586737,0.6472615932027586,-0.00028655685591516544,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/PSM/run-20260716T222700Z-660928-22488/CATCH.1784241452.h3c-R5500-G5.661628.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/PSM.log,formal total-screen log,
Genesis,Genesis,explicit_fixed_mapping,192,8,Genesis,2021.0,unfixed_detect_score,detect_score,Genesis,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.26598636201966913,0.31076939487939076,0.04478303285972163,gain,0.9735413019258317,0.9862788476842272,0.012737545758395585,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/Genesis/run-20260716T213208Z-6088-16524/CATCH.1784239890.h3c-R5500-G5.6426.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/Genesis.log,formal total-screen log,
GECCO,GECCO,explicit_fixed_mapping,192,16,GECCO,2021.0,unfixed_detect_score,detect_score,GECCO,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.40931191196067934,0.40649507103606486,-0.002816840924614483,neutral,0.9634599320415539,0.9643817426490122,0.0009218106074583288,neutral,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/CATCH_RSA_GECCO/CATCH.1784315768.h3c-R5500-G5.3595187.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/GECCO.log,formal total-screen log,fixed fair GECCO source
CalIt2,CalIt2,explicit_fixed_mapping,192,16,CalIt2,2021.0,unfixed_detect_score,detect_score,CalIt2,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.11331008954475083,0.12475790809431422,0.011447818549563393,gain,0.837335086517425,0.8487381494331616,0.011403062915736562,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/CalIt2/run-20260715T183704Z-2374669-5874/CATCH.1784140875.h3c-R5500-G5.2376944.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/CalIt2.json,formal total-screen JSON,
NYC,NYC,explicit_fixed_mapping,192,16,NYC,2021.0,unfixed_detect_score,detect_score,NYC,,192.0,16.0,,total_score,partially_verified_not_persisted,,"seed,strategy_name",0.08012301922216247,0.0625620541968663,-0.017560965025296166,loss,0.8184345189209679,0.8080574098642201,-0.010377109056747713,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/NYC/run-20260716T222643Z-657156-32728/CATCH.1784241041.h3c-R5500-G5.657503.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/NYC.json,formal total-screen JSON,
MSL,MSL,explicit_fixed_mapping,192,16,MSL,2021.0,unfixed_detect_score,detect_score,MSL,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.1655892846937148,0.1740271791487243,0.008437894455009476,neutral,0.6619639093750687,0.6608765912436516,-0.0010873181314170477,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/MSL/run-20260716T213635Z-58595-28964/CATCH.1784244404.h3c-R5500-G5.59126.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/MSL.json,formal total-screen JSON,
ASD_dataset_1,ASD,explicit_fixed_mapping,192,16,ASD_dataset_1,2021.0,unfixed_detect_score,detect_score,ASD_dataset_1,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.12484850854873471,0.12578618707155959,0.000937678522824878,neutral,0.4971756168309036,0.5032756765162025,0.00610005968529892,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_1/run-20260715T120733Z-1347582-29581/CATCH.1784117687.h3c-R5500-G5.1349346.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_1/MSDCATCH/MSDCATCH.1784390185.h3c-R5500-G5.3190810.csv.tar.gz,formal by-dataset archive,
ASD_dataset_2,ASD,explicit_fixed_mapping,192,16,ASD_dataset_2,2021.0,unfixed_detect_score,detect_score,ASD_dataset_2,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.4738718402997876,0.48818375171251727,0.014311911412729694,gain,0.9620846211233082,0.9663263348609187,0.0042417137376105085,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_2/run-20260715T123513Z-1655293-4562/CATCH.1784119679.h3c-R5500-G5.1657441.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_2/MSDCATCH/MSDCATCH.1784390351.h3c-R5500-G5.3230432.csv.tar.gz,formal by-dataset archive,
ASD_dataset_3,ASD,explicit_fixed_mapping,192,16,ASD_dataset_3,2021.0,unfixed_detect_score,detect_score,ASD_dataset_3,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.22005852048195607,0.2594434122877362,0.03938489180578014,gain,0.8062639890778531,0.8301668515467572,0.02390286246890405,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_3/run-20260715T130403Z-1970702-20553/CATCH.1784121522.h3c-R5500-G5.1974015.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_3/MSDCATCH/MSDCATCH.1784390812.h3c-R5500-G5.3274854.csv.tar.gz,formal by-dataset archive,
ASD_dataset_4,ASD,explicit_fixed_mapping,192,16,ASD_dataset_4,2021.0,unfixed_detect_score,detect_score,ASD_dataset_4,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.15411023763249648,0.19722752914657976,0.04311729151408328,gain,0.840160503495526,0.8763500386803257,0.036189535184799726,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_4/run-20260715T134133Z-2385568-17192/CATCH.1784123438.h3c-R5500-G5.2387988.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_4/MSDCATCH/MSDCATCH.1784391366.h3c-R5500-G5.3400081.csv.tar.gz,formal by-dataset archive,
ASD_dataset_5,ASD,explicit_fixed_mapping,192,16,ASD_dataset_5,2021.0,unfixed_detect_score,detect_score,ASD_dataset_5,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.26665308045985403,0.29125898811741247,0.024605907657558435,gain,0.9435844228590343,0.9507199144504843,0.007135491591449994,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_5/run-20260715T141230Z-2968914-11771/CATCH.1784125388.h3c-R5500-G5.2976094.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_5/MSDCATCH/MSDCATCH.1784391918.h3c-R5500-G5.3568954.csv.tar.gz,formal by-dataset archive,
ASD_dataset_6,ASD,explicit_fixed_mapping,192,16,ASD_dataset_6,2021.0,unfixed_detect_score,detect_score,ASD_dataset_6,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.20768900108866714,0.19716717656974186,-0.010521824518925277,loss,0.8428388690397423,0.827220531369003,-0.01561833767073928,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_6/run-20260715T143325Z-3669526-27356/CATCH.1784126625.h3c-R5500-G5.3676661.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_6/MSDCATCH/MSDCATCH.1784392471.h3c-R5500-G5.3714799.csv.tar.gz,formal by-dataset archive,
ASD_dataset_7,ASD,explicit_fixed_mapping,192,16,ASD_dataset_7,2021.0,unfixed_detect_score,detect_score,ASD_dataset_7,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.07178350129409401,0.08843707676965441,0.0166535754755604,gain,0.8142835031810813,0.877633590480923,0.0633500872998417,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_7/run-20260715T150742Z-85080-11778/CATCH.1784128749.h3c-R5500-G5.87689.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_7/MSDCATCH/MSDCATCH.1784392989.h3c-R5500-G5.3864449.csv.tar.gz,formal by-dataset archive,
ASD_dataset_8,ASD,explicit_fixed_mapping,192,16,ASD_dataset_8,2021.0,unfixed_detect_score,detect_score,ASD_dataset_8,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.14544453442885116,0.1481874168894771,0.0027428824606259283,neutral,0.8619196823958313,0.8661626434059031,0.004242961010071822,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_8/run-20260715T153406Z-377465-29501/CATCH.1784130361.h3c-R5500-G5.379417.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_8/MSDCATCH/MSDCATCH.1784393473.h3c-R5500-G5.4028866.csv.tar.gz,formal by-dataset archive,
ASD_dataset_9,ASD,explicit_fixed_mapping,192,16,ASD_dataset_9,2021.0,unfixed_detect_score,detect_score,ASD_dataset_9,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.3147345111330089,0.30853110878882195,-0.006203402344186926,neutral,0.8771432947421016,0.8827507823282122,0.005607487586110627,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_9/run-20260715T155915Z-646428-29264/CATCH.1784131876.h3c-R5500-G5.649174.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_9/MSDCATCH/MSDCATCH.1784393964.h3c-R5500-G5.4172863.csv.tar.gz,formal by-dataset archive,
ASD_dataset_10,ASD,explicit_fixed_mapping,192,16,ASD_dataset_10,2021.0,unfixed_detect_score,detect_score,ASD_dataset_10,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.37974208814399274,0.39394932560180357,0.014207237457810828,gain,0.8574666611421714,0.8668333977480436,0.009366736605872172,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_10/run-20260715T120921Z-1368429-738/CATCH.1784118012.h3c-R5500-G5.1369978.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_10/MSDCATCH/MSDCATCH.1784394511.h3c-R5500-G5.126083.csv.tar.gz,formal by-dataset archive,
ASD_dataset_11,ASD,explicit_fixed_mapping,192,16,ASD_dataset_11,2021.0,unfixed_detect_score,detect_score,ASD_dataset_11,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.21206913086478119,0.2426238074781832,0.030554676613402026,gain,0.7963587223587223,0.8205641277641278,0.0242054054054055,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_11/run-20260715T122849Z-1587674-11538/CATCH.1784119230.h3c-R5500-G5.1589378.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_11/MSDCATCH/MSDCATCH.1784395056.h3c-R5500-G5.287470.csv.tar.gz,formal by-dataset archive,
ASD_dataset_12,ASD,explicit_fixed_mapping,192,16,ASD_dataset_12,2021.0,unfixed_detect_score,detect_score,ASD_dataset_12,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.19987992239378774,0.19236129017075257,-0.007518632223035171,neutral,0.7844653555613441,0.8167943764290468,0.03232902086770273,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_12/run-20260715T125526Z-1885032-7036/CATCH.1784120935.h3c-R5500-G5.1887948.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_12/MSDCATCH/MSDCATCH.1784395511.h3c-R5500-G5.464310.csv.tar.gz,formal by-dataset archive,
CICIDS,CICIDS,explicit_fixed_mapping,192,16,CICIDS,2021.0,unfixed_detect_score,detect_score,CICIDS,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.0021731235429398453,0.0016057326538992352,-0.0005673908890406101,neutral,0.79050548808017,0.7199250423084635,-0.07058044577170641,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/CICIDS/run-20260715T120722Z-1345491-4045/CATCH.1784122606.h3c-R5500-G5.1353374.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/CICIDS/MSDCATCH/MSDCATCH.1784402663.h3c-R5500-G5.3309038.csv.tar.gz,formal by-dataset archive,
Creditcard,Creditcard,explicit_fixed_mapping,192,32,Creditcard,2021.0,unfixed_detect_score,detect_score,Creditcard,2021.0,192.0,32.0,unfixed_detect_score,total_score,verified,,,0.10047925847471387,0.10410656117659993,0.003627302701886062,neutral,0.9578139883152161,0.947813629712118,-0.010000358603098114,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/Creditcard/run-20260716T202925Z-3426561-275/CATCH.1784236079.h3c-R5500-G5.3427278.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/Creditcard/MSDCATCH/MSDCATCH.1784402131.h3c-R5500-G5.1040497.csv.tar.gz,formal by-dataset archive,
SMAP,SMAP,explicit_fixed_mapping,192,16,SMAP,2021.0,unfixed_detect_score,detect_score,SMAP,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.12853735454850154,0.11351940962511085,-0.015017944923390689,loss,0.4974781075071577,0.4430626528376542,-0.05441545466950348,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/SMAP/run-20260717T070416Z-2731832-15614/CATCH.1784278165.h3c-R5500-G5.2732611.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/SMAP/MSDCATCH/MSDCATCH.1784403162.h3c-R5500-G5.1079965.csv.tar.gz,formal by-dataset archive,
SMD,SMD,explicit_fixed_mapping,192,8,SMD,2021.0,unfixed_detect_score,detect_score,SMD,2021.0,192.0,8.0,unfixed_detect_score,total_score,verified,,,0.17233734912212675,0.172921975820056,0.0005846266979292469,neutral,0.8108613332598882,0.7973951524848084,-0.013466180775079772,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/SMD/run-20260716T225633Z-1008371-29270/CATCH.1784301239.h3c-R5500-G5.1011549.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/SMD/MSDCATCH/MSDCATCH.1784559943.h3c-R5500-G5.179946.csv.tar.gz,formal by-dataset archive,
SWAT,SWAT,explicit_fixed_mapping,2048,256,SWAT,2021.0,unfixed_detect_score,detect_score,SWAT,2021.0,2048.0,256.0,unfixed_detect_score,total_score,verified,,,0.15874455892337386,0.140985371551324,-0.017759187372049845,loss,0.3437453576128116,0.3278118180319115,-0.015933539580900102,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/SWAT/run-20260715T184743Z-2499166-18894/CATCH.1784210821.h3c-R5500-G5.2521250.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/SWAT/MSDCATCH/MSDCATCH.1784547386.h3c-R5500-G5.233296.csv.tar.gz,formal by-dataset archive,
